id,dzien_rozliczenia,product1,product2,product3,product4
7,2023-11-04,90.0,67,0.0,1.0
6,2023-11-04,39.0,27,0.0,0.0
1,2023-11-04,131.0,74,0.0,0.0
9,2023-11-04,56.0,30,0.0,0.0
4,2023-11-04,115.0,56,0.0,0.0
37,2023-11-04,107.0,24,0.0,3.0
2,2023-11-04,220.0,116,0.0,0.0
8,2023-11-04,87.0,39,0.0,3.0
3,2023-11-04,73.5,43,0.0,2.0
4,2023-11-03,45.0,21,0.0,0.0
1,2023-11-03,72.0,37,0.0,0.0
7,2023-11-03,51.0,33,0.0,0.0
2,2023-11-03,97.0,41,0.0,0.0
37,2023-11-03,53.0,25,0.0,0.0
9,2023-11-03,45.0,14,0.0,0.0
3,2023-11-03,60.0,34,0.0,3.0
6,2023-11-03,30.0,23,0.0,0.0
8,2023-11-03,108.0,39,0.0,8.0
9,2023-11-02,43.0,17,0.0,8.0
3,2023-11-02,40.0,24,0.0,0.0
8,2023-11-02,79.0,21,0.0,0.0
37,2023-11-02,50.0,27,0.0,0.0
4,2023-11-02,56.0,21,0.0,6.0
2,2023-11-02,126.0,65,0.0,1.0
1,2023-11-02,87.0,55,0.0,6.0
6,2023-11-02,32.0,20,0.0,0.0
7,2023-11-02,62.0,45,0.0,0.0
7,2023-10-31,80.0,45,0.0,2.0
37,2023-10-31,104.0,41,0.0,0.0
3,2023-10-31,62.0,48,0.0,0.0
8,2023-10-31,115.0,43,0.0,2.0
6,2023-10-31,52.0,49,0.0,0.0
9,2023-10-31,60.0,14,0.0,0.0
1,2023-10-31,113.5,81,0.0,1.0
4,2023-10-31,94.0,45,0.0,3.0
2,2023-10-31,147.0,72,0.0,3.0
7,2023-10-30,46.0,36,0.0,2.0
1,2023-10-30,52.0,28,0.0,0.0
9,2023-10-30,42.5,22,0.0,0.0
3,2023-10-30,64.0,41,0.0,0.0
6,2023-10-30,35.0,32,0.0,2.0
8,2023-10-30,71.0,24,0.0,1.0
4,2023-10-30,55.0,35,0.0,1.0
37,2023-10-30,53.0,28,0.0,2.0
2,2023-10-30,119.0,55,0.0,1.0
2,2023-10-29,70.0,49,0.0,0.0
4,2023-10-28,123.5,64,0.0,5.0
7,2023-10-28,121.0,51,0.0,3.0
9,2023-10-28,80.0,29,0.0,0.0
37,2023-10-28,103.0,48,0.0,2.0
8,2023-10-28,104.0,26,0.0,0.0
3,2023-10-28,81.0,48,0.0,0.0
6,2023-10-28,47.5,30,0.0,0.0
1,2023-10-28,153.0,74,0.0,0.0
2,2023-10-28,251.0,108,0.0,2.0
4,2023-10-27,57.0,22,0.0,2.0
37,2023-10-27,64.0,23,0.0,0.0
8,2023-10-27,123.0,45,0.0,1.0
7,2023-10-27,59.0,36,0.0,0.0
3,2023-10-27,92.0,62,0.0,0.0
6,2023-10-27,36.0,25,0.0,0.0
9,2023-10-27,58.0,16,0.0,0.0
1,2023-10-27,87.0,38,0.0,2.0
2,2023-10-27,90.0,45,0.0,1.0
8,2023-10-26,103.0,42,0.0,1.0
6,2023-10-26,42.0,28,0.0,0.0
3,2023-10-26,71.0,42,0.0,0.0
37,2023-10-26,55.0,32,0.0,3.0
4,2023-10-26,77.0,23,0.0,0.0
2,2023-10-26,160.0,86,0.0,0.0
1,2023-10-26,99.0,58,0.0,0.0
9,2023-10-26,55.0,27,0.0,0.0
7,2023-10-26,73.0,34,0.0,0.0
6,2023-10-25,79.0,51,0.0,1.0
3,2023-10-25,78.0,66,0.0,1.0
7,2023-10-25,71.0,50,0.0,0.0
8,2023-10-25,75.0,27,0.0,0.0
37,2023-10-25,70.0,28,0.0,3.0
2,2023-10-25,132.0,53,0.0,6.0
4,2023-10-25,64.5,26,0.0,0.0
1,2023-10-25,103.0,70,0.0,0.0
9,2023-10-25,44.0,22,0.0,0.0
6,2023-10-24,40.0,32,0.0,0.0
4,2023-10-24,60.0,32,0.0,7.0
3,2023-10-24,45.5,30,0.0,0.0
37,2023-10-24,62.0,25,0.0,4.0
9,2023-10-24,56.0,23,0.0,1.0
8,2023-10-24,120.0,36,0.0,1.0
2,2023-10-24,133.0,68,0.0,4.0
7,2023-10-24,88.0,51,0.0,5.0
1,2023-10-24,99.0,67,0.0,3.0
3,2023-10-23,46.0,23,0.0,0.0
2,2023-10-23,74.0,35,0.0,0.0
4,2023-10-23,48.0,19,0.0,0.0
1,2023-10-23,83.0,48,0.0,0.0
37,2023-10-23,49.0,25,0.0,0.0
8,2023-10-23,70.0,22,0.0,0.0
7,2023-10-23,56.5,32,0.0,0.0
6,2023-10-23,40.0,19,0.0,0.0
9,2023-10-23,42.0,18,0.0,1.0
2,2023-10-22,70.0,33,0.0,0.0
8,2023-10-21,100.0,34,0.0,4.0
3,2023-10-21,84.0,44,0.0,0.0
1,2023-10-21,160.0,80,0.0,10.0
37,2023-10-21,110.0,49,0.0,0.0
9,2023-10-21,70.5,35,0.0,0.0
4,2023-10-21,135.0,55,0.0,4.0
7,2023-10-21,82.0,41,0.0,0.0
6,2023-10-21,65.0,30,0.0,0.0
2,2023-10-21,240.0,100,0.0,1.0
6,2023-10-20,40.0,18,0.0,0.0
9,2023-10-20,64.0,21,0.0,0.0
1,2023-10-20,74.0,49,0.0,0.0
7,2023-10-20,51.0,31,0.0,0.0
8,2023-10-20,107.0,38,0.0,0.0
4,2023-10-20,43.5,16,0.0,5.0
2,2023-10-20,93.0,58,0.0,0.0
37,2023-10-20,77.0,39,0.0,0.0
3,2023-10-20,78.0,51,0.0,0.0
37,2023-10-19,69.0,36,0.0,0.0
2,2023-10-19,156.0,70,0.0,0.0
4,2023-10-19,62.0,22,0.0,0.0
1,2023-10-19,83.0,60,0.0,2.0
9,2023-10-19,63.0,36,0.0,0.0
6,2023-10-19,46.0,46,0.0,0.0
7,2023-10-19,86.0,37,0.0,4.0
8,2023-10-19,97.0,26,0.0,0.0
3,2023-10-19,69.0,41,0.0,0.0
1,2023-10-18,93.0,43,0.0,4.0
7,2023-10-18,71.0,26,0.0,1.0
3,2023-10-18,65.0,39,0.0,0.0
6,2023-10-18,90.5,45,0.0,0.0
2,2023-10-18,134.0,55,0.0,1.0
37,2023-10-18,72.0,35,0.0,1.0
9,2023-10-18,54.0,23,0.0,0.0
4,2023-10-18,62.0,23,0.0,5.0
8,2023-10-18,96.0,47,0.0,8.0
8,2023-10-17,110.0,35,0.0,1.0
7,2023-10-17,91.0,52,0.0,3.0
3,2023-10-17,63.5,40,0.0,3.0
37,2023-10-17,54.0,20,0.0,3.0
6,2023-10-17,43.0,30,0.0,0.0
9,2023-10-17,59.0,26,0.0,0.0
1,2023-10-17,90.0,55,0.0,1.0
4,2023-10-17,56.0,25,0.0,7.0
2,2023-10-17,126.0,67,0.0,3.0
6,2023-10-16,36.0,24,0.0,0.0
7,2023-10-16,48.0,24,0.0,0.0
2,2023-10-16,87.0,50,0.0,1.0
1,2023-10-16,68.0,37,0.0,1.0
4,2023-10-16,70.0,26,0.0,1.0
9,2023-10-16,41.0,16,0.0,0.0
37,2023-10-16,55.0,19,0.0,2.0
8,2023-10-16,72.0,26,0.0,1.0
3,2023-10-16,49.0,32,0.0,0.0
2,2023-10-15,78.0,34,0.0,0.0
2,2023-10-14,251.0,93,0.0,1.0
37,2023-10-14,112.0,50,0.0,0.0
3,2023-10-14,98.0,42,0.0,0.0
6,2023-10-14,69.0,39,0.0,1.0
9,2023-10-14,80.0,34,0.0,1.0
8,2023-10-14,138.0,84,0.0,4.0
7,2023-10-14,121.0,59,0.0,2.0
1,2023-10-14,154.0,82,0.0,1.0
4,2023-10-14,151.0,67,0.0,4.0
1,2023-10-13,76.0,50,0.0,1.0
8,2023-10-13,121.0,44,0.0,3.0
3,2023-10-13,76.0,45,0.0,2.0
6,2023-10-13,38.0,16,0.0,0.0
37,2023-10-13,67.0,39,0.0,4.0
4,2023-10-13,53.0,17,0.0,1.0
2,2023-10-13,108.0,60,0.0,0.0
9,2023-10-13,54.0,21,0.0,0.0
7,2023-10-13,66.0,31,0.0,1.0
4,2023-10-12,96.0,36,0.0,1.0
8,2023-10-12,90.0,30,0.0,0.0
2,2023-10-12,194.0,75,0.0,1.0
37,2023-10-12,63.0,40,0.0,0.0
3,2023-10-12,77.0,44,0.0,0.0
6,2023-10-12,63.0,39,0.0,0.0
9,2023-10-12,69.0,26,0.0,2.0
1,2023-10-12,92.0,52,0.0,4.0
7,2023-10-12,93.0,50,0.0,3.0
2,2023-10-11,142.0,57,0.0,1.0
37,2023-10-11,73.0,32,0.0,3.0
8,2023-10-11,90.5,49,0.0,1.0
7,2023-10-11,60.0,39,0.0,1.0
3,2023-10-11,88.0,60,0.0,0.0
6,2023-10-11,104.0,59,0.0,2.0
9,2023-10-11,63.0,33,0.0,5.0
1,2023-10-11,95.0,68,0.0,1.0
4,2023-10-11,95.0,38,0.0,2.0
6,2023-10-10,56.0,34,0.0,0.0
2,2023-10-10,130.0,55,0.0,0.0
1,2023-10-10,69.0,39,0.0,0.0
9,2023-10-10,42.0,24,0.0,1.0
3,2023-10-10,76.0,28,0.0,4.0
37,2023-10-10,63.0,36,0.0,1.0
8,2023-10-10,111.0,41,0.0,1.0
4,2023-10-10,67.0,28,0.0,4.0
7,2023-10-10,61.0,36,0.0,2.0
6,2023-10-09,29.0,20,0.0,0.0
7,2023-10-09,46.0,31,0.0,0.0
8,2023-10-09,78.0,20,0.0,4.0
37,2023-10-09,43.0,21,0.0,2.0
3,2023-10-09,57.0,40,0.0,0.0
2,2023-10-09,88.0,41,0.0,0.0
4,2023-10-09,63.5,24,0.0,3.0
1,2023-10-09,65.0,54,0.0,0.0
9,2023-10-09,33.0,17,0.0,1.0
2,2023-10-08,70.0,43,0.0,3.0
