,weights,p,n_neighbors,metric,leaf_size,algorithm,id,k
0,distance,1,16,minkowski,50,brute,1,1
1,uniform,2,10,minkowski,40,auto,2,1
2,uniform,2,45,minkowski,50,brute,3,1
3,distance,2,21,manhattan,30,auto,4,1
4,uniform,1,14,minkowski,30,ball_tree,5,1
5,distance,2,17,manhattan,30,brute,6,1
6,uniform,1,21,manhattan,30,kd_tree,7,1
7,uniform,1,41,manhattan,50,brute,8,1
8,uniform,1,41,manhattan,50,kd_tree,9,1
9,distance,1,23,chebyshev,10,brute,37,1
10,distance,1,21,manhattan,10,kd_tree,1,2
11,distance,2,20,manhattan,20,kd_tree,2,2
12,uniform,2,49,minkowski,30,auto,3,2
13,distance,1,26,manhattan,10,ball_tree,4,2
14,distance,1,14,manhattan,50,auto,5,2
15,distance,2,19,manhattan,10,ball_tree,6,2
16,uniform,1,25,minkowski,30,auto,7,2
17,uniform,2,47,euclidean,10,brute,8,2
18,distance,2,59,euclidean,30,brute,9,2
19,distance,2,24,manhattan,40,brute,37,2
20,distance,1,18,minkowski,10,brute,1,3
21,distance,2,27,manhattan,30,brute,2,3
22,uniform,1,53,euclidean,20,kd_tree,3,3
23,distance,1,17,minkowski,30,auto,4,3
24,distance,2,13,manhattan,50,kd_tree,5,3
25,distance,1,14,manhattan,30,brute,6,3
26,uniform,1,28,manhattan,20,auto,7,3
27,uniform,1,52,manhattan,30,kd_tree,8,3
28,uniform,1,11,chebyshev,50,kd_tree,9,3
29,uniform,2,32,manhattan,40,kd_tree,37,3
30,distance,1,16,manhattan,10,kd_tree,1,4
31,distance,1,11,euclidean,30,auto,2,4
32,distance,1,57,euclidean,10,ball_tree,3,4
33,distance,1,11,euclidean,10,auto,4,4
34,distance,1,10,euclidean,50,auto,5,4
35,uniform,1,14,minkowski,20,kd_tree,6,4
36,distance,1,33,manhattan,20,kd_tree,7,4
37,uniform,2,54,minkowski,40,ball_tree,8,4
38,uniform,2,7,euclidean,20,auto,9,4
39,distance,2,35,manhattan,30,ball_tree,37,4
40,distance,1,17,manhattan,40,kd_tree,1,5
41,distance,1,19,chebyshev,50,brute,2,5
42,uniform,1,59,euclidean,40,ball_tree,3,5
43,distance,2,11,manhattan,20,ball_tree,4,5
44,uniform,2,13,manhattan,20,kd_tree,5,5
45,uniform,1,11,minkowski,10,auto,6,5
46,distance,2,37,manhattan,20,auto,7,5
47,distance,1,58,manhattan,40,ball_tree,8,5
48,distance,2,9,euclidean,40,brute,9,5
49,distance,2,42,manhattan,10,auto,37,5
50,distance,1,26,manhattan,40,kd_tree,1,6
51,uniform,2,10,manhattan,50,ball_tree,2,6
52,distance,2,20,manhattan,50,brute,3,6
53,distance,1,7,minkowski,20,ball_tree,4,6
54,distance,1,13,minkowski,20,kd_tree,5,6
55,distance,1,17,minkowski,40,auto,6,6
56,distance,2,43,manhattan,10,auto,7,6
57,uniform,2,58,manhattan,40,kd_tree,8,6
58,distance,1,15,minkowski,30,auto,9,6
59,uniform,1,42,minkowski,20,brute,37,6
60,distance,2,20,manhattan,40,brute,1,7
61,uniform,1,10,minkowski,40,auto,2,7
62,distance,1,25,minkowski,20,brute,3,7
63,distance,1,18,minkowski,30,ball_tree,4,7
64,distance,1,13,minkowski,10,auto,5,7
65,distance,1,19,manhattan,50,kd_tree,6,7
66,distance,2,43,manhattan,20,auto,7,7
67,distance,2,19,manhattan,50,ball_tree,8,7
68,distance,2,14,manhattan,30,ball_tree,9,7
69,uniform,1,47,manhattan,30,auto,37,7
70,distance,1,14,manhattan,20,auto,1,8
71,distance,2,20,minkowski,20,brute,2,8
72,distance,2,25,manhattan,50,auto,3,8
73,distance,1,18,minkowski,50,brute,4,8
74,distance,2,13,manhattan,20,ball_tree,5,8
75,uniform,2,23,manhattan,10,auto,6,8
76,distance,1,24,minkowski,50,kd_tree,7,8
77,uniform,1,22,manhattan,50,ball_tree,8,8
78,distance,1,12,manhattan,30,kd_tree,9,8
79,distance,1,51,manhattan,30,auto,37,8
