,batch_size,epochs,k,id
0,28,10,1,1
1,42,10,1,2
2,42,10,1,3
3,42,10,1,4
4,28,10,1,5
5,14,10,1,6
6,28,10,1,7
7,14,30,1,8
8,28,20,1,9
9,14,20,2,1
10,42,10,2,2
11,28,20,2,3
12,42,10,2,4
13,42,10,2,5
14,42,10,2,6
15,42,10,2,7
16,14,20,2,8
17,14,20,2,9
18,42,10,2,37
19,28,10,3,1
20,42,10,3,2
21,42,10,3,3
22,42,10,3,4
23,42,10,3,6
24,42,10,3,7
25,42,10,3,8
26,28,10,3,9
27,42,20,3,37
28,42,10,4,1
29,42,10,4,2
30,28,10,4,3
31,42,10,4,4
32,28,10,4,6
33,14,20,4,7
34,28,10,4,8
35,42,10,4,9
36,28,10,4,37
37,14,20,5,1
38,28,20,5,2
39,14,20,5,3
40,14,20,5,4
41,14,20,5,6
42,14,10,5,7
43,28,30,5,8
44,28,20,5,9
45,28,10,5,37
46,28,30,6,1
47,14,10,6,2
48,28,30,6,3
49,28,10,6,4
50,42,10,6,6
51,14,10,6,7
52,14,20,6,8
53,28,30,6,9
54,42,30,6,37
55,14,20,7,1
56,14,30,7,2
57,14,20,7,3
58,42,10,7,4
59,28,30,7,6
60,28,30,7,7
61,14,10,7,8
62,14,30,7,9
63,42,10,7,37
64,14,10,8,1
65,42,10,8,2
66,14,30,8,3
67,14,10,8,4
68,14,10,8,6
69,14,20,8,7
70,28,10,8,8
71,14,30,8,9
72,14,30,8,37
