,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,k,id
0,200,2,1,sqrt,10,poisson,1,1
1,200,2,1,log2,10,squared_error,1,2
2,500,15,1,sqrt,,absolute_error,1,3
3,100,2,5,sqrt,20,absolute_error,1,4
4,100,2,2,log2,10,squared_error,1,5
5,50,5,2,sqrt,10,poisson,1,6
6,200,5,5,sqrt,10,absolute_error,1,7
7,200,2,5,sqrt,15,absolute_error,1,8
8,100,5,5,log2,10,absolute_error,1,9
9,200,5,1,log2,15,poisson,1,37
10,200,5,1,log2,,friedman_mse,2,1
11,200,5,2,sqrt,20,squared_error,2,2
12,200,2,5,sqrt,20,absolute_error,2,3
13,100,20,2,log2,5,absolute_error,2,4
14,500,2,2,sqrt,15,poisson,2,5
15,500,5,1,log2,10,poisson,2,6
16,50,2,5,log2,20,poisson,2,7
17,50,5,1,sqrt,20,poisson,2,8
18,50,5,15,sqrt,5,absolute_error,2,9
19,50,10,1,log2,20,squared_error,2,37
20,100,5,1,sqrt,15,absolute_error,3,1
21,100,2,1,log2,20,squared_error,3,2
22,100,10,2,sqrt,15,poisson,3,3
23,500,2,2,sqrt,10,absolute_error,3,4
24,100,2,2,sqrt,20,squared_error,3,5
25,50,5,2,sqrt,10,friedman_mse,3,6
26,200,5,2,log2,,poisson,3,7
27,200,10,5,log2,10,absolute_error,3,8
28,200,5,1,sqrt,20,absolute_error,3,9
29,50,2,5,sqrt,,absolute_error,3,37
30,200,2,2,sqrt,20,poisson,4,1
31,100,10,1,sqrt,15,friedman_mse,4,2
32,100,20,1,sqrt,,absolute_error,4,3
33,200,15,1,sqrt,,absolute_error,4,4
34,100,5,1,log2,,poisson,4,5
35,500,5,1,log2,10,poisson,4,6
36,500,2,5,sqrt,15,absolute_error,4,7
37,200,5,1,sqrt,20,poisson,4,8
38,500,5,1,sqrt,10,absolute_error,4,9
39,200,2,2,sqrt,15,poisson,4,37
40,200,5,1,sqrt,,poisson,5,1
41,500,5,2,sqrt,20,squared_error,5,2
42,100,5,1,sqrt,20,poisson,5,3
43,200,2,1,log2,10,absolute_error,5,4
44,200,5,1,log2,,poisson,5,5
45,100,2,5,log2,15,absolute_error,5,6
46,50,2,5,sqrt,15,absolute_error,5,7
47,50,10,2,sqrt,15,poisson,5,8
48,200,2,1,log2,15,poisson,5,9
49,500,5,2,sqrt,10,squared_error,5,37
50,100,5,1,sqrt,15,absolute_error,6,1
51,500,5,1,sqrt,15,squared_error,6,2
52,500,2,1,sqrt,10,squared_error,6,3
53,500,10,5,sqrt,,absolute_error,6,4
54,50,5,1,log2,20,squared_error,6,5
55,50,10,5,log2,,absolute_error,6,6
56,100,20,2,sqrt,10,absolute_error,6,7
57,100,5,2,log2,,squared_error,6,8
58,500,2,1,log2,15,poisson,6,9
59,500,10,5,sqrt,10,absolute_error,6,37
60,500,5,1,sqrt,15,poisson,7,1
61,200,2,1,sqrt,15,poisson,7,2
62,500,5,2,sqrt,10,poisson,7,3
63,10,20,2,sqrt,20,absolute_error,7,4
64,100,5,2,sqrt,20,poisson,7,5
65,50,15,1,sqrt,20,absolute_error,7,6
66,500,10,2,sqrt,15,poisson,7,7
67,200,2,1,sqrt,15,poisson,7,8
68,50,20,1,log2,10,absolute_error,7,9
69,200,2,1,sqrt,,squared_error,7,37
70,500,2,1,sqrt,20,poisson,8,1
71,500,5,2,sqrt,10,squared_error,8,2
72,100,10,1,sqrt,,poisson,8,3
73,500,10,2,sqrt,10,absolute_error,8,4
74,500,2,2,sqrt,20,poisson,8,5
75,200,2,2,log2,15,poisson,8,6
76,200,15,1,sqrt,15,absolute_error,8,7
77,100,5,2,sqrt,20,squared_error,8,8
78,500,5,2,sqrt,20,poisson,8,9
79,50,10,2,sqrt,,poisson,8,37
